2021-02-17 18:23:53,689 - log  - *ST藏格 共486条数据已添加到数据库！
2021-02-17 18:23:53,693 - log  - 初始化pro接口成功
2021-02-17 18:23:53,693 - log  - 抓取ST地矿股票数据
2021-02-17 18:23:56,481 - log  - 添加ST地矿股票数据到数据库--成功,用时-2.787286000000023
2021-02-17 18:23:56,481 - log  - ST地矿 共484条数据已添加到数据库！
2021-02-17 18:23:56,485 - log  - 初始化pro接口成功
2021-02-17 18:23:56,486 - log  - 抓取*ST沈机股票数据
2021-02-17 18:23:59,245 - log  - 添加*ST沈机股票数据到数据库--成功,用时-2.759657400000009
2021-02-17 18:23:59,245 - log  - *ST沈机 共483条数据已添加到数据库！
2021-02-17 18:23:59,249 - log  - 初始化pro接口成功
2021-02-17 18:23:59,249 - log  - 抓取英特集团股票数据
2021-02-17 18:24:02,075 - log  - 添加英特集团股票数据到数据库--成功,用时-2.8258150000000057
2021-02-17 18:24:02,076 - log  - 英特集团 共487条数据已添加到数据库！
2021-02-17 18:24:02,079 - log  - 初始化pro接口成功
2021-02-17 18:24:02,079 - log  - 抓取东旭光电股票数据
2021-02-17 18:24:04,799 - log  - 添加东旭光电股票数据到数据库--成功,用时-2.720789300000007
2021-02-17 18:24:04,800 - log  - 东旭光电 共472条数据已添加到数据库！
2021-02-17 18:24:04,803 - log  - 初始化pro接口成功
2021-02-17 18:24:04,803 - log  - 抓取渤海租赁股票数据
2021-02-17 18:24:07,560 - log  - 添加渤海租赁股票数据到数据库--成功,用时-2.7563332999999943
2021-02-17 18:24:07,560 - log  - 渤海租赁 共487条数据已添加到数据库！
2021-02-17 18:24:07,565 - log  - 初始化pro接口成功
2021-02-17 18:24:07,565 - log  - 抓取民生控股股票数据
2021-02-17 18:24:10,368 - log  - 添加民生控股股票数据到数据库--成功,用时-2.8028645999999924
2021-02-17 18:24:10,368 - log  - 民生控股 共487条数据已添加到数据库！
2021-02-17 18:24:10,372 - log  - 初始化pro接口成功
2021-02-17 18:24:10,372 - log  - 抓取合肥百货股票数据
2021-02-17 18:24:13,140 - log  - 添加合肥百货股票数据到数据库--成功,用时-2.7679946000000086
2021-02-17 18:24:13,141 - log  - 合肥百货 共487条数据已添加到数据库！
2021-02-17 18:24:13,144 - log  - 初始化pro接口成功
2021-02-17 18:24:13,144 - log  - 抓取通程控股股票数据
2021-02-17 18:24:15,912 - log  - 添加通程控股股票数据到数据库--成功,用时-2.7673123000000146
2021-02-17 18:24:15,912 - log  - 通程控股 共487条数据已添加到数据库！
2021-02-17 18:24:15,916 - log  - 初始化pro接口成功
2021-02-17 18:24:15,916 - log  - 抓取吉林化纤股票数据
2021-02-17 18:24:18,774 - log  - 添加吉林化纤股票数据到数据库--成功,用时-2.858311299999997
2021-02-17 18:24:18,774 - log  - 吉林化纤 共487条数据已添加到数据库！
2021-02-17 18:24:18,778 - log  - 初始化pro接口成功
2021-02-17 18:24:18,778 - log  - 抓取南京公用股票数据
2021-02-17 18:24:21,479 - log  - 添加南京公用股票数据到数据库--成功,用时-2.700786899999997
2021-02-17 18:24:21,479 - log  - 南京公用 共487条数据已添加到数据库！
2021-02-17 18:24:21,482 - log  - 初始化pro接口成功
2021-02-17 18:24:21,483 - log  - 抓取ST宜化股票数据
2021-02-17 18:24:24,227 - log  - 添加ST宜化股票数据到数据库--成功,用时-2.745050500000019
2021-02-17 18:24:24,227 - log  - ST宜化 共486条数据已添加到数据库！
2021-02-17 18:24:24,231 - log  - 初始化pro接口成功
2021-02-17 18:24:24,231 - log  - 抓取东阿阿胶股票数据
2021-02-17 18:24:27,048 - log  - 添加东阿阿胶股票数据到数据库--成功,用时-2.816854599999999
2021-02-17 18:24:27,048 - log  - 东阿阿胶 共487条数据已添加到数据库！
2021-02-17 18:24:27,052 - log  - 初始化pro接口成功
2021-02-17 18:24:27,052 - log  - 抓取徐工机械股票数据
2021-02-17 18:24:29,895 - log  - 添加徐工机械股票数据到数据库--成功,用时-2.843066600000043
2021-02-17 18:24:29,895 - log  - 徐工机械 共487条数据已添加到数据库！
2021-02-17 18:24:29,899 - log  - 初始化pro接口成功
